qid	doc_id	total_chunks	maxsim_chunk_idx	gt_chunk_idx	diff	abs_diff	maxsim_score
q-en-2440	doc-en-16745	121	71	71	0	0	0.4984
q-en-2442	doc-en-16758	123	76	66	10	10	0.4626
q-en-2443	doc-en-16766	128	115	114	1	1	0.7412
q-en-2444	doc-en-16773	128	58	48	10	10	0.4688
q-en-2448	doc-en-16801	128	107	112	-5	5	0.6104
q-en-2449	doc-en-16808	128	78	77	1	1	0.7558
q-en-2451	doc-en-16822	128	117	13	104	104	0.5618
q-en-2453	doc-en-16837	107	88	87	1	1	0.6260
q-en-2455	doc-en-16850	120	103	2	101	101	0.6283
q-en-2456	doc-en-16857	114	92	88	4	4	0.6234
q-en-2457	doc-en-1431	128	124	122	2	2	0.6127
q-en-2459	doc-en-16876	120	0	101	-101	101	0.4338
q-en-246	doc-en-1929	128	73	73	0	0	0.6342
q-en-2464	doc-en-16910	107	58	56	2	2	0.5210
q-en-2474	doc-en-16981	128	94	93	1	1	0.5632
q-en-2476	doc-en-3148	111	83	81	2	2	0.7051
q-en-2479	doc-en-17016	128	39	8	31	31	0.4651
q-en-2481	doc-en-17028	128	123	121	2	2	0.5747
q-en-2482	doc-en-17036	128	81	77	4	4	0.6584
q-en-2485	doc-en-17056	128	109	108	1	1	0.6056
q-en-2486	doc-en-17062	128	116	114	2	2	0.6384
q-en-2487	doc-en-17068	112	62	61	1	1	0.4835
q-en-2493	doc-en-17110	128	88	36	52	52	0.3848
q-en-2497	doc-en-17140	128	113	111	2	2	0.7409
q-en-25	doc-en-200	128	29	92	-63	63	0.4310
q-en-2501	doc-en-17169	120	103	101	2	2	0.5848
q-en-2502	doc-en-13456	128	1	0	1	1	0.5949
q-en-2503	doc-en-17183	128	111	113	-2	2	0.5471
q-en-2508	doc-en-17221	128	118	117	1	1	0.5879
q-en-251	doc-en-1968	128	109	107	2	2	0.5356
q-en-2512	doc-en-17250	128	75	74	1	1	0.5811
q-en-252	doc-en-1976	102	54	53	1	1	0.5247
q-en-2520	doc-en-17306	119	100	98	2	2	0.4512
q-en-2523	doc-en-17325	123	78	77	1	1	0.6908
q-en-254	doc-en-1991	128	74	73	1	1	0.5539
q-en-26	doc-en-208	128	72	71	1	1	0.5112
q-en-261	doc-en-2044	122	75	74	1	1	0.6754
q-en-262	doc-en-2052	119	81	80	1	1	0.5872
q-en-264	doc-en-2068	113	73	72	1	1	0.4845
q-en-269	doc-en-2106	128	100	98	2	2	0.4982
q-en-271	doc-en-2122	128	68	67	1	1	0.6661
q-en-272	doc-en-2130	128	110	108	2	2	0.5828
q-en-285	doc-en-2230	128	82	80	2	2	0.5797
q-en-286	doc-en-450	115	59	58	1	1	0.6689
q-en-287	doc-en-2244	110	86	85	1	1	0.6531
q-en-29	doc-en-232	128	120	118	2	2	0.3686
q-en-291	doc-en-2275	108	63	62	1	1	0.5714
q-en-292	doc-en-2283	128	107	62	45	45	0.4927
q-en-30	doc-en-240	128	100	13	87	87	0.4077
q-en-31	doc-en-248	128	90	97	-7	7	0.4501
q-en-310	doc-en-2422	107	73	72	1	1	0.5068
q-en-316	doc-en-2469	128	88	86	2	2	0.4946
q-en-324	doc-en-2531	127	79	78	1	1	0.5658
q-en-325	doc-en-2539	110	69	68	1	1	0.6839
q-en-330	doc-en-2578	126	101	80	21	21	0.5469
q-en-344	doc-en-2687	128	99	97	2	2	0.5909
q-en-345	doc-en-2693	128	125	123	2	2	0.4513
q-en-352	doc-en-2747	120	73	72	1	1	0.7949
q-en-358	doc-en-2794	118	94	92	2	2	0.6698
q-en-36	doc-en-288	121	73	72	1	1	0.6226
q-en-360	doc-en-2810	128	82	81	1	1	0.5216
q-en-364	doc-en-2842	124	86	85	1	1	0.4720
q-en-37	doc-en-296	128	85	85	0	0	0.5909
q-en-372	doc-en-2904	107	65	64	1	1	0.6774
q-en-378	doc-en-2951	106	80	79	1	1	0.4712
q-en-38	doc-en-304	126	74	73	1	1	0.6579
q-en-388	doc-en-3028	128	103	19	84	84	0.5895
q-en-39	doc-en-312	127	74	26	48	48	0.5515
q-en-393	doc-en-3066	128	69	68	1	1	0.5876
q-en-396	doc-en-3090	128	123	121	2	2	0.4638
q-en-4	doc-en-32	128	88	87	1	1	0.5677
q-en-400	doc-en-3122	128	26	4	22	22	0.4153
q-en-401	doc-en-3130	128	3	26	-23	23	0.3890
q-en-403	doc-en-3146	103	63	62	1	1	0.6540
q-en-405	doc-en-3161	128	100	98	2	2	0.5874
q-en-414	doc-en-3229	128	111	109	2	2	0.4466
q-en-416	doc-en-3242	126	92	90	2	2	0.4922
q-en-417	doc-en-3250	107	68	67	1	1	0.5702
q-en-418	doc-en-3258	128	89	89	0	0	0.6112
q-en-425	doc-en-3313	128	107	105	2	2	0.5973
q-en-43	doc-en-344	128	123	78	45	45	0.4423
q-en-432	doc-en-3367	128	74	73	1	1	0.6250
q-en-439	doc-en-3417	114	68	69	-1	1	0.4951
q-en-44	doc-en-352	128	93	92	1	1	0.6577
q-en-441	doc-en-3432	128	75	74	1	1	0.4925
q-en-444	doc-en-3456	119	85	84	1	1	0.5345
q-en-45	doc-en-360	128	80	79	1	1	0.2582
q-en-456	doc-en-3545	104	4	4	0	0	0.6127
q-en-459	doc-en-3568	128	86	85	1	1	0.5117
q-en-465	doc-en-3614	126	99	97	2	2	0.6153
q-en-467	doc-en-3630	128	107	105	2	2	0.5492
q-en-470	doc-en-3651	128	107	4	103	103	0.3397
q-en-472	doc-en-3666	111	74	73	1	1	0.6346
q-en-475	doc-en-3688	128	87	86	1	1	0.5669
q-en-476	doc-en-3696	128	76	74	2	2	0.4263
q-en-479	doc-en-3717	117	69	68	1	1	0.2767
q-en-482	doc-en-3739	126	74	73	1	1	0.5667
q-en-484	doc-en-3755	128	106	105	1	1	0.5143
q-en-487	doc-en-3415	121	75	74	1	1	0.7114
q-en-492	doc-en-3816	128	87	86	1	1	0.5315
q-en-5	doc-en-40	128	106	104	2	2	0.6182
q-en-508	doc-en-3941	128	125	123	2	2	0.6806
q-en-51	doc-en-407	128	110	108	2	2	0.4675
q-en-518	doc-en-4017	121	78	77	1	1	0.5203
q-en-520	doc-en-4032	128	113	111	2	2	0.3685
q-en-527	doc-en-4087	128	108	107	1	1	0.6026
q-en-532	doc-en-4126	104	53	53	0	0	0.5673
q-en-535	doc-en-4149	128	77	75	2	2	0.5458
q-en-537	doc-en-4165	128	90	80	10	10	0.4612
q-en-549	doc-en-4255	128	103	101	2	2	0.6191
q-en-550	doc-en-4262	128	77	76	1	1	0.7199
q-en-553	doc-en-4282	128	68	82	-14	14	0.4722
q-en-56	doc-en-447	124	67	66	1	1	0.5435
q-en-561	doc-en-4339	128	95	94	1	1	0.4176
q-en-573	doc-en-4429	128	86	85	1	1	0.7369
q-en-575	doc-en-4445	118	70	69	1	1	0.4650
q-en-578	doc-en-4467	128	67	66	1	1	0.6938
q-en-579	doc-en-4474	128	99	97	2	2	0.5109
q-en-583	doc-en-4505	109	78	77	1	1	0.5794
q-en-59	doc-en-471	96	49	48	1	1	0.4757
q-en-594	doc-en-4583	128	102	97	5	5	0.5178
q-en-595	doc-en-4591	107	91	67	24	24	0.5618
q-en-599	doc-en-4620	95	62	67	-5	5	0.5643
q-en-600	doc-en-4628	106	54	53	1	1	0.6558
q-en-603	doc-en-4652	101	80	79	1	1	0.6434
q-en-615	doc-en-4747	110	59	58	1	1	0.5280
q-en-619	doc-en-4779	97	80	76	4	4	0.5935
q-en-62	doc-en-495	128	98	96	2	2	0.7138
q-en-620	doc-en-4787	104	77	77	0	0	0.6583
q-en-624	doc-en-4818	100	70	69	1	1	0.5703
q-en-63	doc-en-503	120	82	80	2	2	0.6517
q-en-636	doc-en-4913	92	74	73	1	1	0.5314
q-en-637	doc-en-4921	102	77	76	1	1	0.5671
q-en-639	doc-en-4937	109	89	87	2	2	0.3191
q-en-64	doc-en-511	128	101	100	1	1	0.6595
q-en-644	doc-en-4976	128	64	68	-4	4	0.4953
q-en-649	doc-en-5016	100	74	73	1	1	0.5939
q-en-65	doc-en-519	124	81	51	30	30	0.6987
q-en-651	doc-en-5031	108	38	84	-46	46	0.5874
q-en-658	doc-en-5085	92	52	52	0	0	0.5114
q-en-659	doc-en-5093	108	54	53	1	1	0.4171
q-en-660	doc-en-5100	86	45	44	1	1	0.5352
q-en-662	doc-en-5115	82	50	50	0	0	0.6714
q-en-663	doc-en-5123	94	53	52	1	1	0.5214
q-en-664	doc-en-5131	126	81	80	1	1	0.8023
q-en-666	doc-en-5147	93	53	53	0	0	0.6122
q-en-669	doc-en-5171	101	60	59	1	1	0.6216
q-en-67	doc-en-535	103	64	63	1	1	0.5466
q-en-676	doc-en-5226	101	75	74	1	1	0.4737
q-en-686	doc-en-5305	92	76	75	1	1	0.5541
q-en-687	doc-en-5313	107	80	64	16	16	0.4820
q-en-69	doc-en-551	128	81	80	1	1	0.5190
q-en-7	doc-en-56	128	123	121	2	2	0.7397
q-en-701	doc-en-5421	103	80	79	1	1	0.6266
q-en-702	doc-en-5429	111	89	88	1	1	0.6132
q-en-708	doc-en-5476	101	49	57	-8	8	0.5598
q-en-719	doc-en-5561	103	55	54	1	1	0.6579
q-en-721	doc-en-5577	94	62	61	1	1	0.3870
q-en-722	doc-en-5585	93	50	50	0	0	0.6019
q-en-728	doc-en-5630	98	74	72	2	2	0.5745
q-en-734	doc-en-5675	92	75	62	13	13	0.5999
q-en-736	doc-en-5691	90	64	57	7	7	0.3816
q-en-738	doc-en-5707	94	69	69	0	0	0.5442
q-en-739	doc-en-5715	100	78	77	1	1	0.6305
q-en-742	doc-en-5739	88	58	57	1	1	0.4202
q-en-746	doc-en-5768	128	116	71	45	45	0.3880
q-en-747	doc-en-5776	110	55	54	1	1	0.3438
q-en-749	doc-en-5303	100	58	55	3	3	0.4597
q-en-752	doc-en-5814	105	81	80	1	1	0.6013
q-en-753	doc-en-5821	128	89	87	2	2	0.4786
q-en-757	doc-en-5851	94	1	50	-49	49	0.5051
q-en-762	doc-en-5886	105	65	64	1	1	0.6411
q-en-765	doc-en-5909	128	88	87	1	1	0.5479
q-en-767	doc-en-5924	104	77	76	1	1	0.6670
q-en-768	doc-en-5931	91	76	75	1	1	0.6930
q-en-775	doc-en-5986	95	52	49	3	3	0.6176
q-en-780	doc-en-5976	106	70	69	1	1	0.4254
q-en-783	doc-en-6043	83	48	47	1	1	0.5788
q-en-785	doc-en-6059	97	64	72	-8	8	0.5131
q-en-790	doc-en-6098	101	66	65	1	1	0.6187
q-en-795	doc-en-6135	101	82	81	1	1	0.4479
q-en-796	doc-en-6085	99	78	76	2	2	0.4893
q-en-797	doc-en-6150	107	60	60	0	0	0.7299
q-en-799	doc-en-6165	109	60	59	1	1	0.7106
q-en-803	doc-en-6197	122	61	68	-7	7	0.5717
q-en-806	doc-en-6221	104	70	69	1	1	0.5200
q-en-81	doc-en-645	128	109	108	1	1	0.4545
q-en-810	doc-en-6252	103	63	25	38	38	0.4759
q-en-812	doc-en-6265	88	51	50	1	1	0.3452
q-en-819	doc-en-6318	114	73	72	1	1	0.5088
q-en-823	doc-en-6350	101	0	61	-61	61	0.5353
q-en-833	doc-en-6428	99	81	80	1	1	0.6228
q-en-835	doc-en-6442	101	61	60	1	1	0.7028
q-en-838	doc-en-6464	99	75	74	1	1	0.7295
q-en-840	doc-en-6480	94	68	67	1	1	0.4961
q-en-841	doc-en-6488	116	82	81	1	1	0.6161
q-en-842	doc-en-6495	94	66	65	1	1	0.5053
q-en-843	doc-en-4873	100	67	66	1	1	0.4151
q-en-844	doc-en-5611	86	55	55	0	0	0.6885
q-en-845	doc-en-6517	96	56	56	0	0	0.4934
q-en-846	doc-en-6524	120	12	80	-68	68	0.4327
q-en-849	doc-en-6547	128	96	95	1	1	0.5458
q-en-85	doc-en-676	117	65	69	-4	4	0.4956
q-en-852	doc-en-6570	94	65	64	1	1	0.7315
q-en-853	doc-en-6577	99	63	62	1	1	0.5343
q-en-854	doc-en-5857	99	65	64	1	1	0.6118
q-en-857	doc-en-6606	93	58	57	1	1	0.4535
q-en-859	doc-en-6621	90	62	61	1	1	0.4283
q-en-860	doc-en-6629	124	86	85	1	1	0.5568
q-en-866	doc-en-6674	125	90	89	1	1	0.5239
q-en-867	doc-en-6681	95	51	50	1	1	0.6035
q-en-870	doc-en-6702	86	59	58	1	1	0.7461
q-en-872	doc-en-6256	128	92	1	91	91	0.4983
q-en-878	doc-en-6758	90	46	45	1	1	0.4830
q-en-887	doc-en-6825	96	53	52	1	1	0.6464
q-en-890	doc-en-6846	99	67	63	4	4	0.5071
q-en-891	doc-en-6853	112	58	57	1	1	0.4494
q-en-892	doc-en-6860	88	53	52	1	1	0.3732
q-en-893	doc-en-6633	105	70	69	1	1	0.4656
q-en-894	doc-en-6871	96	74	73	1	1	0.5709
q-en-897	doc-en-6893	88	52	52	0	0	0.5483
q-en-902	doc-en-6748	102	59	58	1	1	0.4287
q-en-905	doc-en-6949	103	83	82	1	1	0.5795
q-en-907	doc-en-6963	93	52	51	1	1	0.6224
q-en-910	doc-en-6985	100	52	53	-1	1	0.4544
q-en-911	doc-en-6993	104	56	55	1	1	0.3585
q-en-914	doc-en-7014	93	71	70	1	1	0.4996
q-en-917	doc-en-7035	91	55	54	1	1	0.5664
q-en-919	doc-en-7049	104	81	80	1	1	0.7188
q-en-92	doc-en-732	128	122	120	2	2	0.3757
q-en-921	doc-en-7062	104	0	2	-2	2	0.5803
q-en-929	doc-en-7119	92	50	49	1	1	0.6067
q-en-93	doc-en-740	128	69	0	69	69	0.4043
q-en-938	doc-en-7186	116	64	63	1	1	0.4430
q-en-95	doc-en-756	128	113	112	1	1	0.5318
q-en-953	doc-en-7294	91	69	68	1	1	0.5630
q-en-954	doc-en-7301	96	56	55	1	1	0.5776
q-en-960	doc-en-7343	100	67	67	0	0	0.5099
q-en-961	doc-en-7350	91	68	67	1	1	0.6395
q-en-965	doc-en-7377	126	99	32	67	67	0.5175
q-en-969	doc-en-7403	100	52	52	0	0	0.4745
q-en-970	doc-en-7410	89	59	59	0	0	0.4414
q-en-972	doc-en-7425	105	57	56	1	1	0.5007
q-en-973	doc-en-7432	119	77	76	1	1	0.6072
q-en-974	doc-en-7438	89	64	64	0	0	0.4953
q-en-975	doc-en-7443	89	61	60	1	1	0.5343
q-en-976	doc-en-7449	91	52	54	-2	2	0.5070
q-en-977	doc-en-7456	87	59	58	1	1	0.5890
q-en-980	doc-en-5233	97	53	52	1	1	0.5027
q-en-994	doc-en-7420	99	54	52	2	2	0.5629
q-en-995	doc-en-7578	87	57	57	0	0	0.5967
